Product_ID,Product_Name,Category,Current_Stock,Safety_Stock,Reorder_Point,Unit_Cost,Inventory_Value
P0446,Product 446,Consumables,4574,242,691,5.07,23190.18
P0447,Product 447,Consumables,1877,318,613,12.86,24138.22
P0448,Product 448,Packaging,1393,319,488,9.53,13275.29
P0449,Product 449,Consumables,4210,690,950,41.58,175051.8
P0450,Product 450,Raw Material,2492,311,738,7.69,19163.48
P0451,Product 451,Consumables,2421,343,1135,7.63,18472.23
P0452,Product 452,Packaging,1688,595,999,93.5,157828.0
P0453,Product 453,Finished Goods,2862,53,468,14.7,42071.4
P0454,Product 454,Finished Goods,4227,334,175,78.14,330297.78
P0455,Product 455,Raw Material,3277,638,656,40.43,132489.11
P0456,Product 456,Consumables,1968,142,238,17.83,35089.44
P0457,Product 457,Packaging,4190,431,1099,16.89,70769.1
P0458,Product 458,Raw Material,3300,173,333,47.1,155430.0
P0459,Product 459,Consumables,4993,518,170,64.04,319751.72
P0460,Product 460,Consumables,2223,634,862,6.42,14271.66
P0461,Product 461,Finished Goods,1031,227,161,31.92,32909.52
P0462,Product 462,Finished Goods,104,484,389,15.75,1638.0
P0463,Product 463,Raw Material,2450,501,545,15.95,39077.5
P0464,Product 464,Raw Material,4728,426,202,11.29,53379.12
P0465,Product 465,Packaging,2534,525,1158,27.81,70470.54
P0466,Product 466,Finished Goods,3346,330,454,117.0,391482.0
P0467,Product 467,Packaging,2509,429,1070,28.24,70854.16
P0468,Product 468,Consumables,3338,327,247,46.23,154315.74
P0469,Product 469,Packaging,1391,195,1139,90.38,125718.58
P0470,Product 470,Consumables,3131,205,562,14.98,46902.38
P0471,Product 471,Finished Goods,455,229,969,3.86,1756.3
P0472,Product 472,Spare Parts,1215,153,230,23.98,29135.7
P0473,Product 473,Raw Material,1578,159,373,26.53,41864.34
P0474,Product 474,Finished Goods,4412,610,626,57.04,251660.48
P0475,Product 475,Raw Material,438,215,600,15.03,6583.14
P0476,Product 476,Finished Goods,1996,172,1068,23.27,46446.92
P0477,Product 477,Spare Parts,2227,666,183,28.27,62957.29
P0478,Product 478,Finished Goods,2215,653,846,13.32,29503.8
P0479,Product 479,Spare Parts,1080,87,477,61.5,66420.0
P0480,Product 480,Finished Goods,1877,333,727,13.43,25208.11
P0481,Product 481,Raw Material,740,482,440,13.59,10056.6
P0482,Product 482,Raw Material,3195,66,1181,11.92,38084.4
P0483,Product 483,Raw Material,700,266,564,10.69,7483.0
P0484,Product 484,Finished Goods,3700,548,303,18.62,68894.0
P0485,Product 485,Spare Parts,2324,165,604,30.3,70417.2
P0486,Product 486,Finished Goods,4161,525,171,10.11,42067.71
P0487,Product 487,Packaging,4292,695,764,61.38,263442.96
P0488,Product 488,Raw Material,4438,53,484,11.84,52545.92
P0489,Product 489,Finished Goods,3614,182,534,26.66,96349.24
P0490,Product 490,Packaging,4846,273,660,66.5,322259.0
P0491,Product 491,Raw Material,4383,446,257,24.89,109092.87
P0492,Product 492,Raw Material,3533,278,987,18.22,64371.26
P0493,Product 493,Packaging,1254,513,801,47.62,59715.48
P0494,Product 494,Packaging,2486,674,629,26.45,65754.7
P0495,Product 495,Packaging,2196,629,326,46.68,102509.28
P0496,Product 496,Packaging,727,202,184,18.4,13376.8
P0497,Product 497,Raw Material,3440,230,974,11.56,39766.4
P0498,Product 498,Raw Material,970,556,539,39.61,38421.7
P0499,Product 499,Packaging,1413,422,341,69.5,98203.5
P0500,Product 500,Packaging,2986,412,370,45.31,135295.66
